Opponent (bot),Dave's Player
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
P,P
R,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,S
P,R
S,P
R,R
S,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,S
P,R
S,P
R,P
R,S
